Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2010","2010","kg/ha","630.1","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2010","2010","t","146000","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2011","2011","kg/ha","728.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2011","2011","t","128100","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2012","2012","kg/ha","705.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2012","2012","t","149600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2013","2013","kg/ha","718.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2013","2013","t","148800","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2014","2014","kg/ha","776","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2014","2014","t","80700","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2015","2015","kg/ha","624.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2015","2015","t","124600","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2016","2016","kg/ha","948.6","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2016","2016","t","118200","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2017","2017","kg/ha","771.4","E","Estimated value",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2017","2017","t","65533.39","I","Imputed value",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2018","2018","kg/ha","735.7","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2018","2018","t","2939","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2019","2019","kg/ha","773.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2019","2019","t","2843","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2020","2020","kg/ha","499.2","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2020","2020","t","10948","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2021","2021","kg/ha","516.8","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2021","2021","t","13116","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2022","2022","kg/ha","505.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2022","2022","t","15123","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01709.90","Other pulses n.e.c.","2023","2023","kg/ha","464.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01709.90","Other pulses n.e.c.","2023","2023","t","14352","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","1961","1961","kg/ha","7453.3","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5510","Production","01510","Potatoes","1961","1961","t","111800","A","Official figure",""
